task,threads,size,time,result
task4_striped_mm,1,100,9.658400085754693e-05,"[[19.79762706 25.99577793 22.68372921 ... 22.57572589 20.96704894
  21.64453448]
 [23.00848226 25.87188242 23.13765931 ... 24.19228415 23.67980462
  23.0803348 ]
 [22.10454679 27.54983785 24.12281594 ... 25.57684468 23.2494701
  23.77989906]
 ...
 [21.44746029 24.84961139 21.43713018 ... 24.1666803  21.69969842
  22.25687194]
 [21.91746648 24.81679254 22.57278835 ... 25.03745464 23.61287591
  22.53399952]
 [22.74650689 28.38598328 22.91993085 ... 24.53717902 21.32048961
  23.99454588]]"
task4_striped_mm,1,200,0.00023220799630507827,"[[50.90013964 51.69016865 50.46394123 ... 49.01261946 51.69084806
  53.76062637]
 [46.30525727 47.0461398  46.68915149 ... 46.28359736 49.19274276
  47.76072393]
 [50.19394665 52.53071359 51.12229744 ... 49.37492104 50.90819327
  51.49644332]
 ...
 [50.16340507 50.96565472 47.75437944 ... 45.15104437 50.5798224
  50.28606567]
 [49.90089877 49.90672679 49.03556476 ... 50.17263334 51.54700674
  49.91931147]
 [50.43443504 50.77992307 51.00185242 ... 49.57473558 51.94820955
  51.23953718]]"
task4_striped_mm,1,400,0.001069999998435378,"[[100.47698404  97.73576364 103.51182614 ... 102.02854398 100.66557608
  100.64169305]
 [ 96.01099393  98.22155772 100.15963819 ...  98.76801383  92.28187637
   96.57042162]
 [ 92.38480415  94.10826147 100.33336172 ...  97.05343104  93.78281766
   95.16650455]
 ...
 [105.49109645 106.22217498 112.34961914 ... 109.15125973 105.84428789
  107.42616878]
 [ 99.05816488  98.3020327  101.43914222 ...  99.46532864  99.07464656
   93.49319253]
 [ 99.79726542  99.01103989 104.87889066 ... 104.14588942 102.50421285
   99.89847707]]"
task4_striped_mm,1,800,0.005777916987426579,"[[202.37805228 208.91812158 206.75804606 ... 207.22259331 204.84817473
  195.92865363]
 [196.81563874 205.8217284  203.60307992 ... 206.87986572 204.36016844
  195.6741752 ]
 [202.93497801 215.82733537 212.35233637 ... 211.73385638 209.70865017
  207.52702009]
 ...
 [190.37772048 205.66815183 197.93741016 ... 198.18481985 198.01897297
  187.93962098]
 [194.06031532 212.30516312 204.69780429 ... 207.34601609 198.31107118
  200.07476009]
 [191.0523115  203.23014086 197.56819102 ... 198.59355618 193.85587902
  187.85992697]]"
task4_striped_mm,2,200,0.00031470900285057724,"[[51.82385139 49.31347231 55.86037379 ... 51.04359534 52.92388964
  52.71823071]
 [52.46844097 51.58543538 54.52114334 ... 50.71718873 52.45954389
  47.85919371]
 [50.59436529 46.30028178 51.65418085 ... 47.2432423  50.9440983
  48.3877549 ]
 ...
 [49.27612222 46.27941432 50.41041549 ... 48.30214507 50.53482423
  47.44570197]
 [48.12894168 48.55347019 51.57418001 ... 48.3167461  48.70601142
  49.33575649]
 [52.32142684 50.31355269 55.08926406 ... 52.44266613 51.37544696
  48.97038387]]"
task4_striped_mm,2,400,0.001125042006606236,"[[ 99.40231187  91.22549428 104.78363004 ...  92.15897456  95.40955962
   94.6136977 ]
 [104.99694273  98.01155687 112.86958313 ...  98.25114929 103.95687665
  105.58368412]
 [105.53305818  96.54713172 109.71044293 ...  98.56626852 101.40182818
  100.87106949]
 ...
 [101.64929874  96.79755656 108.36766521 ...  94.91524677  95.74987669
   98.03047428]
 [105.13728164  94.15848418 109.16811218 ...  93.53011056  98.16287329
  100.03519875]
 [103.71659614  96.62370303 108.02996438 ...  93.82076232  95.74985366
   99.72833198]]"
task4_striped_mm,2,800,0.007597832998726517,"[[200.46304631 201.05467266 207.45376317 ... 201.49712595 200.5577684
  202.82760674]
 [194.52649197 200.31653694 206.83574177 ... 203.82559961 199.67364527
  201.73504711]
 [191.90686738 196.54832936 204.10042345 ... 193.69984759 199.3923566
  199.43287398]
 ...
 [205.61811887 206.2245307  215.45384008 ... 209.90239527 212.79338024
  210.92660125]
 [196.14040282 194.24006683 198.6504272  ... 196.13912192 194.23532397
  190.7251842 ]
 [191.98027572 194.45850198 201.59599014 ... 197.3751085  193.37957185
  197.88680051]]"
task4_striped_mm,4,200,0.001165166002465412,"[[43.00119817 46.60506914 46.35753227 ... 45.37482504 50.85692785
  46.30877016]
 [50.05368915 48.81394615 45.29163331 ... 45.45284853 54.07596987
  47.76933024]
 [49.18009393 48.05093099 45.31392783 ... 46.24540645 52.85606219
  48.34544329]
 ...
 [53.72848878 50.20752034 51.07751169 ... 50.93418886 55.49505299
  53.9404561 ]
 [52.30646204 49.61352417 50.05078872 ... 50.01328645 55.06047389
  52.33332657]
 [50.09775745 51.19700819 50.61967696 ... 49.49657088 57.43800605
  52.74902305]]"
task4_striped_mm,4,400,0.0014079170068725944,"[[109.01039437 109.19993231 114.18389118 ... 107.43292389 107.04703138
  110.11144162]
 [105.73677219 104.68951978 104.46557352 ... 103.72510092 101.26923078
  106.70355151]
 [102.74974313 105.64098332 104.46317058 ... 103.81041998 102.0901831
  104.13692813]
 ...
 [106.61994248 104.30603116 107.50382782 ... 102.6473553  101.9323567
  103.93600779]
 [107.10683398 104.00767567 105.35900352 ... 100.95986032  99.54174479
  106.61936567]
 [ 95.458626    97.9459082   97.36025486 ...  94.04195863  91.13522415
   98.8984153 ]]"
task4_striped_mm,4,800,0.010291041020536795,"[[203.19920116 197.82357293 203.16743738 ... 198.89904864 193.13031544
  198.20580905]
 [194.2776622  195.25212393 201.99986568 ... 198.59914408 198.31948922
  198.54477098]
 [199.49827825 198.64578537 206.08141963 ... 201.93991393 193.47474928
  196.40760988]
 ...
 [197.77891275 193.98557498 198.32228061 ... 200.39153754 188.39591202
  200.57227933]
 [195.20662402 187.74041884 198.78540018 ... 196.69289306 187.70628986
  193.92129697]
 [212.34038046 201.29978523 205.51885291 ... 206.18287937 196.94756329
  201.85504671]]"
