task,threads,size,time,result
task2_dot,1,1000,3.0542003514710814e-05,260.5601272021026
task2_dot,1,1000000,0.004605750000337139,249913.22555193107
task2_dot,1,100000000,0.49254087500594324,24996836.53976784
task2_dot,2,1000,3.266699786763638e-05,249.2928335125217
task2_dot,2,1000000,0.004372374998638406,249765.39671584638
task2_dot,2,100000000,0.41993024999828776,24997819.89602276
task2_dot,4,1000,5.01670001540333e-05,252.10949181707852
task2_dot,4,1000000,0.005994541999825742,250171.4699273998
task2_dot,4,100000000,0.5458456659980584,24998810.531107225
task2_dot,8,1000,0.00010479200136614963,243.02654843650623
task2_dot,8,1000000,0.007489291994716041,250186.36921640212
task2_dot,8,100000000,0.7116426659995341,25000334.245317377
task2_dot,1,1000,3.575001028366387e-05,249.44721025689955
task2_dot,1,1000000,0.003990209006587975,249861.4093453158
task2_dot,1,100000000,0.4427790829940932,25000509.51072131
task2_dot,2,1000,4.5209002564661205e-05,249.9044492727328
task2_dot,2,1000000,0.00439054099842906,249788.33196940905
task2_dot,2,100000000,0.41976045799674466,25003751.25973914
task2_dot,4,1000,4.9875001423060894e-05,260.91024678953124
task2_dot,4,1000000,0.0057590829965192825,250040.88775453967
task2_dot,4,100000000,0.4748115830007009,25002348.31227099
task2_dot,8,1000,0.00020012501045130193,253.97589206161342
task2_dot,8,1000000,0.00677229100256227,249992.36817923182
task2_dot,8,100000000,0.6849178330012364,25000655.30923175
